0       <= x <     630; y_0     =        77.06 +     -0.000601x; Linear Approximation
18390.0 <= x < 18420.0; y_613   =       636.00 +     -0.033333x; Piecewise Interpolation
18420.0 <= x < 18450.0; y_614   =       636.00 +     -0.033333x; Piecewise Interpolation
18450.0 <= x < 18480.0; y_615   =      -594.00 +      0.033333x; Piecewise Interpolation
18480.0 <= x < 18510.0; y_616   =      1254.00 +     -0.066667x; Piecewise Interpolation
18510.0 <= x < 18540.0; y_617   =        20.00 +      0.000000x; Piecewise Interpolation
18540.0 <= x < 18570.0; y_618   =       638.00 +     -0.033333x; Piecewise Interpolation
18570.0 <= x < 18600.0; y_619   =        19.00 +      0.000000x; Piecewise Interpolation
18600.0 <= x < 18630.0; y_620   =        19.00 +      0.000000x; Piecewise Interpolation
18630.0 <= x < 18660.0; y_621   =        19.00 +      0.000000x; Piecewise Interpolation
18660.0 <= x < 18690.0; y_622   =       641.00 +     -0.033333x; Piecewise Interpolation
18690.0 <= x < 18720.0; y_623   =        18.00 +      0.000000x; Piecewise Interpolation
18720.0 <= x < 18750.0; y_624   =        18.00 +      0.000000x; Piecewise Interpolation
18750.0 <= x < 18780.0; y_625   =        18.00 +      0.000000x; Piecewise Interpolation
18780.0 <= x < 18810.0; y_626   =        18.00 +      0.000000x; Piecewise Interpolation
18810.0 <= x < 18840.0; y_627   =        18.00 +      0.000000x; Piecewise Interpolation
18840.0 <= x < 18870.0; y_628   =        18.00 +      0.000000x; Piecewise Interpolation
0       <= x <     630; y_0     =        77.06 +     -0.000601x; Linear Approximation
0.0     <= x <    30.0; y_0     =        80.00 +     -0.500000x; Piecewise Interpolation
30.0    <= x <    60.0; y_1     =        67.00 +     -0.066667x; Piecewise Interpolation
60.0    <= x <    90.0; y_2     =        19.00 +      0.733333x; Piecewise Interpolation
90.0    <= x <   120.0; y_3     =       103.00 +     -0.200000x; Piecewise Interpolation
120.0   <= x <   150.0; y_4     =        59.00 +      0.166667x; Piecewise Interpolation
150.0   <= x <   180.0; y_5     =       119.00 +     -0.233333x; Piecewise Interpolation
180.0   <= x <   210.0; y_6     =        59.00 +      0.100000x; Piecewise Interpolation
210.0   <= x <   240.0; y_7     =       185.00 +     -0.500000x; Piecewise Interpolation
240.0   <= x <   270.0; y_8     =       -71.00 +      0.566667x; Piecewise Interpolation
270.0   <= x <   300.0; y_9     =        91.00 +     -0.033333x; Piecewise Interpolation
300.0   <= x <   330.0; y_10    =        61.00 +      0.066667x; Piecewise Interpolation
330.0   <= x <   360.0; y_11    =       149.00 +     -0.200000x; Piecewise Interpolation
360.0   <= x <   390.0; y_12    =       221.00 +     -0.400000x; Piecewise Interpolation
390.0   <= x <   420.0; y_13    =        13.00 +      0.133333x; Piecewise Interpolation
420.0   <= x <   450.0; y_14    =      -155.00 +      0.533333x; Piecewise Interpolation
450.0   <= x <   480.0; y_15    =       100.00 +     -0.033333x; Piecewise Interpolation
480.0   <= x <   510.0; y_16    =       388.00 +     -0.633333x; Piecewise Interpolation
510.0   <= x <   540.0; y_17    =        48.00 +      0.033333x; Piecewise Interpolation
540.0   <= x <   570.0; y_18    =       102.00 +     -0.066667x; Piecewise Interpolation
570.0   <= x <   600.0; y_19    =         7.00 +      0.100000x; Piecewise Interpolation
600.0   <= x <   630.0; y_20    =        67.00 +      0.000000x; Piecewise Interpolation
630.0   <= x <   660.0; y_21    =        46.00 +      0.033333x; Piecewise Interpolation
660.0   <= x <   690.0; y_22    =      -174.00 +      0.366667x; Piecewise Interpolation
690.0   <= x <   720.0; y_23    =       424.00 +     -0.500000x; Piecewise Interpolation
720.0   <= x <   750.0; y_24    =      -440.00 +      0.700000x; Piecewise Interpolation
750.0   <= x <   780.0; y_25    =       510.00 +     -0.566667x; Piecewise Interpolation
780.0   <= x <   810.0; y_26    =      -270.00 +      0.433333x; Piecewise Interpolation
810.0   <= x <   840.0; y_27    =       405.00 +     -0.400000x; Piecewise Interpolation
840.0   <= x <   870.0; y_28    =      -295.00 +      0.433333x; Piecewise Interpolation
870.0   <= x <   900.0; y_29    =       169.00 +     -0.100000x; Piecewise Interpolation
900.0   <= x <   930.0; y_30    =       109.00 +     -0.033333x; Piecewise Interpolation
930.0   <= x <   960.0; y_31    =       109.00 +     -0.033333x; Piecewise Interpolation
960.0   <= x <   990.0; y_32    =       525.00 +     -0.466667x; Piecewise Interpolation
990.0   <= x <  1020.0; y_33    =      -366.00 +      0.433333x; Piecewise Interpolation
1020.0  <= x <  1050.0; y_34    =       450.00 +     -0.366667x; Piecewise Interpolation
1050.0  <= x <  1080.0; y_35    =      -285.00 +      0.333333x; Piecewise Interpolation
1080.0  <= x <  1110.0; y_36    =       399.00 +     -0.300000x; Piecewise Interpolation
1110.0  <= x <  1140.0; y_37    =        -8.00 +      0.066667x; Piecewise Interpolation
1140.0  <= x <  1170.0; y_38    =      -236.00 +      0.266667x; Piecewise Interpolation
1170.0  <= x <  1200.0; y_39    =       232.00 +     -0.133333x; Piecewise Interpolation
1200.0  <= x <  1230.0; y_40    =       312.00 +     -0.200000x; Piecewise Interpolation
1230.0  <= x <  1260.0; y_41    =       148.00 +     -0.066667x; Piecewise Interpolation
1260.0  <= x <  1290.0; y_42    =       -20.00 +      0.066667x; Piecewise Interpolation
1290.0  <= x <  1320.0; y_43    =      -192.00 +      0.200000x; Piecewise Interpolation
1320.0  <= x <  1350.0; y_44    =      -412.00 +      0.366667x; Piecewise Interpolation
1350.0  <= x <  1380.0; y_45    =       218.00 +     -0.100000x; Piecewise Interpolation
1380.0  <= x <  1410.0; y_46    =       218.00 +     -0.100000x; Piecewise Interpolation
1410.0  <= x <  1440.0; y_47    =      -205.00 +      0.200000x; Piecewise Interpolation
1440.0  <= x <  1470.0; y_48    =       131.00 +     -0.033333x; Piecewise Interpolation
1470.0  <= x <  1500.0; y_49    =       425.00 +     -0.233333x; Piecewise Interpolation
1500.0  <= x <  1530.0; y_50    =       525.00 +     -0.300000x; Piecewise Interpolation
1530.0  <= x <  1560.0; y_51    =       117.00 +     -0.033333x; Piecewise Interpolation
1560.0  <= x <  1590.0; y_52    =       169.00 +     -0.066667x; Piecewise Interpolation
1590.0  <= x <  1620.0; y_53    =      -838.00 +      0.566667x; Piecewise Interpolation
1620.0  <= x <  1650.0; y_54    =       998.00 +     -0.566667x; Piecewise Interpolation
1650.0  <= x <  1680.0; y_55    =         8.00 +      0.033333x; Piecewise Interpolation
1680.0  <= x <  1710.0; y_56    =         8.00 +      0.033333x; Piecewise Interpolation
1710.0  <= x <  1740.0; y_57    =       236.00 +     -0.100000x; Piecewise Interpolation
1740.0  <= x <  1770.0; y_58    =      -170.00 +      0.133333x; Piecewise Interpolation
1770.0  <= x <  1800.0; y_59    =       184.00 +     -0.066667x; Piecewise Interpolation
1800.0  <= x <  1830.0; y_60    =     -1016.00 +      0.600000x; Piecewise Interpolation
1830.0  <= x <  1860.0; y_61    =      1607.00 +     -0.833333x; Piecewise Interpolation
1860.0  <= x <  1890.0; y_62    =      -563.00 +      0.333333x; Piecewise Interpolation
1890.0  <= x <  1920.0; y_63    =     -1130.00 +      0.633333x; Piecewise Interpolation
1920.0  <= x <  1950.0; y_64    =      1366.00 +     -0.666667x; Piecewise Interpolation
1950.0  <= x <  1980.0; y_65    =      -454.00 +      0.266667x; Piecewise Interpolation
1980.0  <= x <  2010.0; y_66    =      -322.00 +      0.200000x; Piecewise Interpolation
2010.0  <= x <  2040.0; y_67    =      -255.00 +      0.166667x; Piecewise Interpolation
2040.0  <= x <  2070.0; y_68    =      1309.00 +     -0.600000x; Piecewise Interpolation
2070.0  <= x <  2100.0; y_69    =       274.00 +     -0.100000x; Piecewise Interpolation
2100.0  <= x <  2130.0; y_70    =        64.00 +      0.000000x; Piecewise Interpolation
2130.0  <= x <  2160.0; y_71    =        -7.00 +      0.033333x; Piecewise Interpolation
2160.0  <= x <  2190.0; y_72    =        65.00 +      0.000000x; Piecewise Interpolation
2190.0  <= x <  2220.0; y_73    =     -1103.00 +      0.533333x; Piecewise Interpolation
2220.0  <= x <  2250.0; y_74    =      -215.00 +      0.133333x; Piecewise Interpolation
2250.0  <= x <  2280.0; y_75    =      1735.00 +     -0.733333x; Piecewise Interpolation
2280.0  <= x <  2310.0; y_76    =       -13.00 +      0.033333x; Piecewise Interpolation
2310.0  <= x <  2340.0; y_77    =        64.00 +      0.000000x; Piecewise Interpolation
2340.0  <= x <  2370.0; y_78    =      -950.00 +      0.433333x; Piecewise Interpolation
2370.0  <= x <  2400.0; y_79    =      -239.00 +      0.133333x; Piecewise Interpolation
2400.0  <= x <  2430.0; y_80    =      1281.00 +     -0.500000x; Piecewise Interpolation
2430.0  <= x <  2460.0; y_81    =     -1311.00 +      0.566667x; Piecewise Interpolation
2460.0  <= x <  2490.0; y_82    =       247.00 +     -0.066667x; Piecewise Interpolation
2490.0  <= x <  2520.0; y_83    =       -85.00 +      0.066667x; Piecewise Interpolation
2520.0  <= x <  2550.0; y_84    =       335.00 +     -0.100000x; Piecewise Interpolation
2550.0  <= x <  2580.0; y_85    =      -260.00 +      0.133333x; Piecewise Interpolation
2580.0  <= x <  2610.0; y_86    =      1632.00 +     -0.600000x; Piecewise Interpolation
2610.0  <= x <  2640.0; y_87    =     -1500.00 +      0.600000x; Piecewise Interpolation
2640.0  <= x <  2670.0; y_88    =       612.00 +     -0.200000x; Piecewise Interpolation
2670.0  <= x <  2700.0; y_89    =      -367.00 +      0.166667x; Piecewise Interpolation
2700.0  <= x <  2730.0; y_90    =       533.00 +     -0.166667x; Piecewise Interpolation
2730.0  <= x <  2760.0; y_91    =      1352.00 +     -0.466667x; Piecewise Interpolation
2760.0  <= x <  2790.0; y_92    =     -1500.00 +      0.566667x; Piecewise Interpolation
2790.0  <= x <  2820.0; y_93    =      1662.00 +     -0.566667x; Piecewise Interpolation
2820.0  <= x <  2850.0; y_94    =      -970.00 +      0.366667x; Piecewise Interpolation
2850.0  <= x <  2880.0; y_95    =      1310.00 +     -0.433333x; Piecewise Interpolation
2880.0  <= x <  2910.0; y_96    =      -226.00 +      0.100000x; Piecewise Interpolation
2910.0  <= x <  2940.0; y_97    =        65.00 +      0.000000x; Piecewise Interpolation
2940.0  <= x <  2970.0; y_98    =        65.00 +      0.000000x; Piecewise Interpolation
2970.0  <= x <  3000.0; y_99    =     -1519.00 +      0.533333x; Piecewise Interpolation
3000.0  <= x <  3030.0; y_100   =      1681.00 +     -0.533333x; Piecewise Interpolation
3030.0  <= x <  3060.0; y_101   =     -1652.00 +      0.566667x; Piecewise Interpolation
3060.0  <= x <  3090.0; y_102   =      1408.00 +     -0.433333x; Piecewise Interpolation
3090.0  <= x <  3120.0; y_103   =     -1373.00 +      0.466667x; Piecewise Interpolation
3120.0  <= x <  3150.0; y_104   =        83.00 +      0.000000x; Piecewise Interpolation
3150.0  <= x <  3180.0; y_105   =      1868.00 +     -0.566667x; Piecewise Interpolation
3180.0  <= x <  3210.0; y_106   =       -40.00 +      0.033333x; Piecewise Interpolation
3210.0  <= x <  3240.0; y_107   =       709.00 +     -0.200000x; Piecewise Interpolation
3240.0  <= x <  3270.0; y_108   =      -695.00 +      0.233333x; Piecewise Interpolation
3270.0  <= x <  3300.0; y_109   =     -1567.00 +      0.500000x; Piecewise Interpolation
3300.0  <= x <  3330.0; y_110   =       413.00 +     -0.100000x; Piecewise Interpolation
3330.0  <= x <  3360.0; y_111   =      1634.00 +     -0.466667x; Piecewise Interpolation
3360.0  <= x <  3390.0; y_112   =     -1390.00 +      0.433333x; Piecewise Interpolation
3390.0  <= x <  3420.0; y_113   =      -599.00 +      0.200000x; Piecewise Interpolation
3420.0  <= x <  3450.0; y_114   =       541.00 +     -0.133333x; Piecewise Interpolation
3450.0  <= x <  3480.0; y_115   =      1806.00 +     -0.500000x; Piecewise Interpolation
3480.0  <= x <  3510.0; y_116   =        66.00 +      0.000000x; Piecewise Interpolation
3510.0  <= x <  3540.0; y_117   =       417.00 +     -0.100000x; Piecewise Interpolation
3540.0  <= x <  3570.0; y_118   =      -409.00 +      0.133333x; Piecewise Interpolation
3570.0  <= x <  3600.0; y_119   =       424.00 +     -0.100000x; Piecewise Interpolation
3600.0  <= x <  3630.0; y_120   =       304.00 +     -0.066667x; Piecewise Interpolation
3630.0  <= x <  3660.0; y_121   =     -2842.00 +      0.800000x; Piecewise Interpolation
3660.0  <= x <  3690.0; y_122   =      2526.00 +     -0.666667x; Piecewise Interpolation
3690.0  <= x <  3720.0; y_123   =       189.00 +     -0.033333x; Piecewise Interpolation
3720.0  <= x <  3750.0; y_124   =      -555.00 +      0.166667x; Piecewise Interpolation
3750.0  <= x <  3780.0; y_125   =     -1305.00 +      0.366667x; Piecewise Interpolation
3780.0  <= x <  3810.0; y_126   =      2097.00 +     -0.533333x; Piecewise Interpolation
3810.0  <= x <  3840.0; y_127   =       319.00 +     -0.066667x; Piecewise Interpolation
3840.0  <= x <  3870.0; y_128   =      -449.00 +      0.133333x; Piecewise Interpolation
3870.0  <= x <  3900.0; y_129   =     -2126.00 +      0.566667x; Piecewise Interpolation
3900.0  <= x <  3930.0; y_130   =       994.00 +     -0.233333x; Piecewise Interpolation
3930.0  <= x <  3960.0; y_131   =      1780.00 +     -0.433333x; Piecewise Interpolation
3960.0  <= x <  3990.0; y_132   =      -464.00 +      0.133333x; Piecewise Interpolation
3990.0  <= x <  4020.0; y_133   =     -2060.00 +      0.533333x; Piecewise Interpolation
4020.0  <= x <  4050.0; y_134   =      2094.00 +     -0.500000x; Piecewise Interpolation
4050.0  <= x <  4080.0; y_135   =       474.00 +     -0.100000x; Piecewise Interpolation
4080.0  <= x <  4110.0; y_136   =      -342.00 +      0.100000x; Piecewise Interpolation
4110.0  <= x <  4140.0; y_137   =       617.00 +     -0.133333x; Piecewise Interpolation
4140.0  <= x <  4170.0; y_138   =     -1315.00 +      0.333333x; Piecewise Interpolation
4170.0  <= x <  4200.0; y_139   =      -759.00 +      0.200000x; Piecewise Interpolation
4200.0  <= x <  4230.0; y_140   =      1901.00 +     -0.433333x; Piecewise Interpolation
4230.0  <= x <  4260.0; y_141   =       350.00 +     -0.066667x; Piecewise Interpolation
4260.0  <= x <  4290.0; y_142   =     -1780.00 +      0.433333x; Piecewise Interpolation
4290.0  <= x <  4320.0; y_143   =      -636.00 +      0.166667x; Piecewise Interpolation
4320.0  <= x <  4350.0; y_144   =       804.00 +     -0.166667x; Piecewise Interpolation
4350.0  <= x <  4380.0; y_145   =      2399.00 +     -0.533333x; Piecewise Interpolation
4380.0  <= x <  4410.0; y_146   =     -1543.00 +      0.366667x; Piecewise Interpolation
4410.0  <= x <  4440.0; y_147   =      -514.00 +      0.133333x; Piecewise Interpolation
4440.0  <= x <  4470.0; y_148   =      1706.00 +     -0.366667x; Piecewise Interpolation
4470.0  <= x <  4500.0; y_149   =     -1721.00 +      0.400000x; Piecewise Interpolation
4500.0  <= x <  4530.0; y_150   =      1879.00 +     -0.400000x; Piecewise Interpolation
4530.0  <= x <  4560.0; y_151   =       -84.00 +      0.033333x; Piecewise Interpolation
4560.0  <= x <  4590.0; y_152   =     -2364.00 +      0.533333x; Piecewise Interpolation
4590.0  <= x <  4620.0; y_153   =      2838.00 +     -0.600000x; Piecewise Interpolation
4620.0  <= x <  4650.0; y_154   =       220.00 +     -0.033333x; Piecewise Interpolation
4650.0  <= x <  4680.0; y_155   =       -90.00 +      0.033333x; Piecewise Interpolation
4680.0  <= x <  4710.0; y_156   =       -90.00 +      0.033333x; Piecewise Interpolation
4710.0  <= x <  4740.0; y_157   =       538.00 +     -0.100000x; Piecewise Interpolation
4740.0  <= x <  4770.0; y_158   =     -3096.00 +      0.666667x; Piecewise Interpolation
4770.0  <= x <  4800.0; y_159   =      2946.00 +     -0.600000x; Piecewise Interpolation
4800.0  <= x <  4830.0; y_160   =      -254.00 +      0.066667x; Piecewise Interpolation
4830.0  <= x <  4860.0; y_161   =     -2830.00 +      0.600000x; Piecewise Interpolation
4860.0  <= x <  4890.0; y_162   =      3488.00 +     -0.700000x; Piecewise Interpolation
4890.0  <= x <  4920.0; y_163   =     -2543.00 +      0.533333x; Piecewise Interpolation
4920.0  <= x <  4950.0; y_164   =      -411.00 +      0.100000x; Piecewise Interpolation
4950.0  <= x <  4980.0; y_165   =      2889.00 +     -0.566667x; Piecewise Interpolation
4980.0  <= x <  5010.0; y_166   =        67.00 +      0.000000x; Piecewise Interpolation
5010.0  <= x <  5040.0; y_167   =     -2772.00 +      0.566667x; Piecewise Interpolation
5040.0  <= x <  5070.0; y_168   =      2604.00 +     -0.500000x; Piecewise Interpolation
5070.0  <= x <  5100.0; y_169   =     -2973.00 +      0.600000x; Piecewise Interpolation
5100.0  <= x <  5130.0; y_170   =       937.00 +     -0.166667x; Piecewise Interpolation
5130.0  <= x <  5160.0; y_171   =      3331.00 +     -0.633333x; Piecewise Interpolation
5160.0  <= x <  5190.0; y_172   =      -625.00 +      0.133333x; Piecewise Interpolation
5190.0  <= x <  5220.0; y_173   =     -2874.00 +      0.566667x; Piecewise Interpolation
5220.0  <= x <  5250.0; y_174   =       258.00 +     -0.033333x; Piecewise Interpolation
5250.0  <= x <  5280.0; y_175   =      3058.00 +     -0.566667x; Piecewise Interpolation
5280.0  <= x <  5310.0; y_176   =      -110.00 +      0.033333x; Piecewise Interpolation
5310.0  <= x <  5340.0; y_177   =     -2942.00 +      0.566667x; Piecewise Interpolation
5340.0  <= x <  5370.0; y_178   =       796.00 +     -0.133333x; Piecewise Interpolation
5370.0  <= x <  5400.0; y_179   =      2407.00 +     -0.433333x; Piecewise Interpolation
5400.0  <= x <  5430.0; y_180   =       247.00 +     -0.033333x; Piecewise Interpolation
5430.0  <= x <  5460.0; y_181   =     -3373.00 +      0.633333x; Piecewise Interpolation
5460.0  <= x <  5490.0; y_182   =        85.00 +      0.000000x; Piecewise Interpolation
5490.0  <= x <  5520.0; y_183   =      3379.00 +     -0.600000x; Piecewise Interpolation
5520.0  <= x <  5550.0; y_184   =      -117.00 +      0.033333x; Piecewise Interpolation
5550.0  <= x <  5580.0; y_185   =     -2892.00 +      0.533333x; Piecewise Interpolation
5580.0  <= x <  5610.0; y_186   =      2688.00 +     -0.466667x; Piecewise Interpolation
5610.0  <= x <  5640.0; y_187   =     -2548.00 +      0.466667x; Piecewise Interpolation
5640.0  <= x <  5670.0; y_188   =      2904.00 +     -0.500000x; Piecewise Interpolation
5670.0  <= x <  5700.0; y_189   =     -2766.00 +      0.500000x; Piecewise Interpolation
5700.0  <= x <  5730.0; y_190   =      1034.00 +     -0.166667x; Piecewise Interpolation
5730.0  <= x <  5760.0; y_191   =      2562.00 +     -0.433333x; Piecewise Interpolation
5760.0  <= x <  5790.0; y_192   =      -702.00 +      0.133333x; Piecewise Interpolation
5790.0  <= x <  5820.0; y_193   =     -2246.00 +      0.400000x; Piecewise Interpolation
5820.0  <= x <  5850.0; y_194   =      2410.00 +     -0.400000x; Piecewise Interpolation
5850.0  <= x <  5880.0; y_195   =     -2855.00 +      0.500000x; Piecewise Interpolation
5880.0  <= x <  5910.0; y_196   =       477.00 +     -0.066667x; Piecewise Interpolation
5910.0  <= x <  5940.0; y_197   =      3432.00 +     -0.566667x; Piecewise Interpolation
5940.0  <= x <  5970.0; y_198   =      -726.00 +      0.133333x; Piecewise Interpolation
5970.0  <= x <  6000.0; y_199   =     -1920.00 +      0.333333x; Piecewise Interpolation
6000.0  <= x <  6030.0; y_200   =      -320.00 +      0.066667x; Piecewise Interpolation
6030.0  <= x <  6060.0; y_201   =      3298.00 +     -0.533333x; Piecewise Interpolation
6060.0  <= x <  6090.0; y_202   =     -1954.00 +      0.333333x; Piecewise Interpolation
6090.0  <= x <  6120.0; y_203   =     -1548.00 +      0.266667x; Piecewise Interpolation
6120.0  <= x <  6150.0; y_204   =      3144.00 +     -0.500000x; Piecewise Interpolation
6150.0  <= x <  6180.0; y_205   =       684.00 +     -0.100000x; Piecewise Interpolation
6180.0  <= x <  6210.0; y_206   =        66.00 +      0.000000x; Piecewise Interpolation
6210.0  <= x <  6240.0; y_207   =     -2625.00 +      0.433333x; Piecewise Interpolation
6240.0  <= x <  6270.0; y_208   =       287.00 +     -0.033333x; Piecewise Interpolation
6270.0  <= x <  6300.0; y_209   =      4676.00 +     -0.733333x; Piecewise Interpolation
6300.0  <= x <  6330.0; y_210   =     -2464.00 +      0.400000x; Piecewise Interpolation
6330.0  <= x <  6360.0; y_211   =      1123.00 +     -0.166667x; Piecewise Interpolation
6360.0  <= x <  6390.0; y_212   =     -1209.00 +      0.200000x; Piecewise Interpolation
6390.0  <= x <  6420.0; y_213   =     -2487.00 +      0.400000x; Piecewise Interpolation
6420.0  <= x <  6450.0; y_214   =      2649.00 +     -0.400000x; Piecewise Interpolation
6450.0  <= x <  6480.0; y_215   =     -2726.00 +      0.433333x; Piecewise Interpolation
6480.0  <= x <  6510.0; y_216   =       730.00 +     -0.100000x; Piecewise Interpolation
6510.0  <= x <  6540.0; y_217   =      2900.00 +     -0.433333x; Piecewise Interpolation
6540.0  <= x <  6570.0; y_218   =      -152.00 +      0.033333x; Piecewise Interpolation
6570.0  <= x <  6600.0; y_219   =       286.00 +     -0.033333x; Piecewise Interpolation
6600.0  <= x <  6630.0; y_220   =      -374.00 +      0.066667x; Piecewise Interpolation
6630.0  <= x <  6660.0; y_221   =     -2142.00 +      0.333333x; Piecewise Interpolation
6660.0  <= x <  6690.0; y_222   =      -144.00 +      0.033333x; Piecewise Interpolation
6690.0  <= x <  6720.0; y_223   =      3424.00 +     -0.500000x; Piecewise Interpolation
6720.0  <= x <  6750.0; y_224   =     -1280.00 +      0.200000x; Piecewise Interpolation
6750.0  <= x <  6780.0; y_225   =     -2180.00 +      0.333333x; Piecewise Interpolation
6780.0  <= x <  6810.0; y_226   =      1436.00 +     -0.200000x; Piecewise Interpolation
6810.0  <= x <  6840.0; y_227   =     -2196.00 +      0.333333x; Piecewise Interpolation
6840.0  <= x <  6870.0; y_228   =      2592.00 +     -0.366667x; Piecewise Interpolation
6870.0  <= x <  6900.0; y_229   =     -1759.00 +      0.266667x; Piecewise Interpolation
6900.0  <= x <  6930.0; y_230   =      3761.00 +     -0.533333x; Piecewise Interpolation
6930.0  <= x <  6960.0; y_231   =     -4093.00 +      0.600000x; Piecewise Interpolation
6960.0  <= x <  6990.0; y_232   =        83.00 +      0.000000x; Piecewise Interpolation
6990.0  <= x <  7020.0; y_233   =      4044.00 +     -0.566667x; Piecewise Interpolation
7020.0  <= x <  7050.0; y_234   =     -3444.00 +      0.500000x; Piecewise Interpolation
7050.0  <= x <  7080.0; y_235   =      -859.00 +      0.133333x; Piecewise Interpolation
7080.0  <= x <  7110.0; y_236   =        85.00 +      0.000000x; Piecewise Interpolation
7110.0  <= x <  7140.0; y_237   =      1270.00 +     -0.166667x; Piecewise Interpolation
7140.0  <= x <  7170.0; y_238   =      -634.00 +      0.100000x; Piecewise Interpolation
7170.0  <= x <  7200.0; y_239   =      -873.00 +      0.133333x; Piecewise Interpolation
7200.0  <= x <  7230.0; y_240   =      1287.00 +     -0.166667x; Piecewise Interpolation
7230.0  <= x <  7260.0; y_241   =      4420.00 +     -0.600000x; Piecewise Interpolation
7260.0  <= x <  7290.0; y_242   =      -420.00 +      0.066667x; Piecewise Interpolation
7290.0  <= x <  7320.0; y_243   =     -3093.00 +      0.433333x; Piecewise Interpolation
7320.0  <= x <  7350.0; y_244   =      -897.00 +      0.133333x; Piecewise Interpolation
7350.0  <= x <  7380.0; y_245   =      4248.00 +     -0.566667x; Piecewise Interpolation
7380.0  <= x <  7410.0; y_246   =     -4116.00 +      0.566667x; Piecewise Interpolation
7410.0  <= x <  7440.0; y_247   =      4035.00 +     -0.533333x; Piecewise Interpolation
7440.0  <= x <  7470.0; y_248   =     -4397.00 +      0.600000x; Piecewise Interpolation
7470.0  <= x <  7500.0; y_249   =      5065.00 +     -0.666667x; Piecewise Interpolation
7500.0  <= x <  7530.0; y_250   =       565.00 +     -0.066667x; Piecewise Interpolation
7530.0  <= x <  7560.0; y_251   =      -439.00 +      0.066667x; Piecewise Interpolation
7560.0  <= x <  7590.0; y_252   =     -3715.00 +      0.500000x; Piecewise Interpolation
7590.0  <= x <  7620.0; y_253   =      -932.00 +      0.133333x; Piecewise Interpolation
7620.0  <= x <  7650.0; y_254   =       592.00 +     -0.066667x; Piecewise Interpolation
7650.0  <= x <  7680.0; y_255   =      4162.00 +     -0.533333x; Piecewise Interpolation
7680.0  <= x <  7710.0; y_256   =        66.00 +      0.000000x; Piecewise Interpolation
7710.0  <= x <  7740.0; y_257   =     -4303.00 +      0.566667x; Piecewise Interpolation
7740.0  <= x <  7770.0; y_258   =      -175.00 +      0.033333x; Piecewise Interpolation
7770.0  <= x <  7800.0; y_259   =      4746.00 +     -0.600000x; Piecewise Interpolation
7800.0  <= x <  7830.0; y_260   =       326.00 +     -0.033333x; Piecewise Interpolation
7830.0  <= x <  7860.0; y_261   =     -4372.00 +      0.566667x; Piecewise Interpolation
7860.0  <= x <  7890.0; y_262   =      -180.00 +      0.033333x; Piecewise Interpolation
7890.0  <= x <  7920.0; y_263   =        83.00 +      0.000000x; Piecewise Interpolation
7920.0  <= x <  7950.0; y_264   =       611.00 +     -0.066667x; Piecewise Interpolation
7950.0  <= x <  7980.0; y_265   =      -184.00 +      0.033333x; Piecewise Interpolation
7980.0  <= x <  8010.0; y_266   =      -450.00 +      0.066667x; Piecewise Interpolation
8010.0  <= x <  8040.0; y_267   =      4890.00 +     -0.600000x; Piecewise Interpolation
8040.0  <= x <  8070.0; y_268   =      1138.00 +     -0.133333x; Piecewise Interpolation
8070.0  <= x <  8100.0; y_269   =     -5856.00 +      0.733333x; Piecewise Interpolation
8100.0  <= x <  8130.0; y_270   =        84.00 +      0.000000x; Piecewise Interpolation
8130.0  <= x <  8160.0; y_271   =      5233.00 +     -0.633333x; Piecewise Interpolation
8160.0  <= x <  8190.0; y_272   =      -751.00 +      0.100000x; Piecewise Interpolation
8190.0  <= x <  8220.0; y_273   =     -4846.00 +      0.600000x; Piecewise Interpolation
8220.0  <= x <  8250.0; y_274   =      2278.00 +     -0.266667x; Piecewise Interpolation
8250.0  <= x <  8280.0; y_275   =      3378.00 +     -0.400000x; Piecewise Interpolation
8280.0  <= x <  8310.0; y_276   =        66.00 +      0.000000x; Piecewise Interpolation
8310.0  <= x <  8340.0; y_277   =     -5197.00 +      0.633333x; Piecewise Interpolation
8340.0  <= x <  8370.0; y_278   =       641.00 +     -0.066667x; Piecewise Interpolation
8370.0  <= x <  8400.0; y_279   =      4826.00 +     -0.566667x; Piecewise Interpolation
8400.0  <= x <  8430.0; y_280   =      -494.00 +      0.066667x; Piecewise Interpolation
8430.0  <= x <  8460.0; y_281   =     -5271.00 +      0.633333x; Piecewise Interpolation
8460.0  <= x <  8490.0; y_282   =       933.00 +     -0.100000x; Piecewise Interpolation
8490.0  <= x <  8520.0; y_283   =      5178.00 +     -0.600000x; Piecewise Interpolation
8520.0  <= x <  8550.0; y_284   =      -786.00 +      0.100000x; Piecewise Interpolation
8550.0  <= x <  8580.0; y_285   =     -2781.00 +      0.333333x; Piecewise Interpolation
8580.0  <= x <  8610.0; y_286   =     -1065.00 +      0.133333x; Piecewise Interpolation
8610.0  <= x <  8640.0; y_287   =      4962.00 +     -0.566667x; Piecewise Interpolation
8640.0  <= x <  8670.0; y_288   =      -510.00 +      0.066667x; Piecewise Interpolation
8670.0  <= x <  8700.0; y_289   =      -221.00 +      0.033333x; Piecewise Interpolation
8700.0  <= x <  8730.0; y_290   =       649.00 +     -0.066667x; Piecewise Interpolation
8730.0  <= x <  8760.0; y_291   =     -4589.00 +      0.533333x; Piecewise Interpolation
8760.0  <= x <  8790.0; y_292   =      1835.00 +     -0.200000x; Piecewise Interpolation
